country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,57.6,,,,,55.7,,,,,53.8,53.1,52.6,52.3,52.1,51.7,51.2
Algeria,27.4,,,,,28,,,,,28.8,29.1,29.4,29.6,29.8,30.2,30.4
Andorra,43.7,,,,,41.7,,,,,39.7,39.4,39,38.8,38.5,38.2,37.8
Argentina,45.3,,,,,38.8,,,,,33.2,32,31.1,30.2,29.4,28.4,27.7
Armenia,66.9,,,,,61.4,,,,,56.8,56.3,55.1,54.3,53.6,52.5,52.1
Australia,26.7,,,,,22.9,,,,,19.7,19.1,18.5,18,17.5,17,16.5
Austria,54.7,,,,,45.8,,,,,38.3,36.8,35.7,34.4,33,32.2,30.9
Azerbaijan,55.4,,,,,50.8,,,,,46.8,45.8,45.3,44.4,43.8,43.5,42.5
Bahamas,16.8,,,,,17.6,,,,,18.8,19,19.3,19.6,19.7,20.1,20.4
Bahrain,31.6,,,,,33,,,,,34.8,35.2,35.5,36,36.5,36.9,37.6
Bangladesh,55.9,,,,,52.2,,,,,48.4,47.6,47,46.5,45.5,45.1,44.7
Barbados,14,,,,,14,,,,,14.2,14.3,14.2,14.4,14.4,14.4,14.5
Belarus,64.3,,,,,57.8,,,,,51.9,51,49.9,48.9,47.8,47,46.1
Belgium,44.4,,,,,39.8,,,,,35.5,34.8,34,33.4,32.7,32,31.4
Benin,16.5,,,,,15,,,,,13.6,13.4,13.1,12.9,12.8,12.5,12.3
Bosnia and Herzegovina,59.4,,,,,55,,,,,51.5,50.7,50,49.4,48.6,48.4,47.7
Botswana,31,,,,,31.8,,,,,33,33.1,33.4,33.5,33.7,33.8,34.4
Brazil,30.6,,,,,25.7,,,,,21.8,21.1,20.3,19.7,19.1,18.4,17.9
Brunei,29.7,,,,,29.9,,,,,30.3,30.5,30.5,30.6,30.7,30.9,30.9
Bulgaria,60.8,,,,,54.7,,,,,49.7,48.7,47.8,47,46.2,45.4,44.4
Burkina Faso,27,,,,,26,,,,,24.9,24.7,24.7,24.4,24.2,24.1,23.9
Cambodia,56.2,,,,,47.9,,,,,40.7,39.4,38.3,36.9,35.7,34.7,33.7
Canada,29.9,,,,,24.9,,,,,20.7,19.9,19.2,18.7,17.9,17.3,16.6
Cape Verde,19.6,,,,,18.5,,,,,17.5,17.3,17.2,16.9,16.8,16.7,16.5
Chile,59.3,,,,,52.7,,,,,47.2,46.1,45.1,44.3,43.4,42.5,41.5
China,56,,,,,53.3,,,,,50.9,50.1,50.1,49.6,49.2,48.7,48.4
Colombia,27.4,,,,,21.7,,,,,17.5,16.8,16,15.4,14.7,14.2,13.5
Comoros,29.7,,,,,27.6,,,,,25.6,25.3,24.9,24.6,24.3,24,23.6
"Congo, Rep.",9.8,,,,,16.5,,,,,27.9,30.7,34.2,38.1,42.5,47,52.3
Costa Rica,26.5,,,,,23.1,,,,,20.2,19.7,19.3,18.7,18.2,17.7,17.4
Croatia,40.5,,,,,40.4,,,,,40.1,39.9,39.7,40,40,40,39.9
Cuba,58.3,,,,,56.5,,,,,55,54.7,54.4,54,53.8,54,53.3
Cyprus,61.7,,,,,58.6,,,,,55.4,54.8,54.1,53.8,53.3,53.1,52.7
Czech Republic,40,,,,,39.6,,,,,39.1,38.9,38.7,38.6,38.5,38.6,38.3
Denmark,42.7,,,,,33.1,,,,,25.7,24.2,22.9,22,20.8,19.8,18.8
Djibouti,32.2,,,,,29.4,,,,,26.9,26.5,26.1,25.6,25.3,24.8,24.5
Dominican Republic,22,,,,,20.9,,,,,20,19.8,19.6,19.5,19.3,19.1,19.1
Ecuador,22.1,,,,,18.4,,,,,15.2,14.7,14.2,13.7,13.2,12.7,12.3
Egypt,33.5,,,,,37.8,,,,,43.1,43.9,44.8,46.3,47.6,48.9,50.1
El Salvador,29.4,,,,,25.3,,,,,21.8,21.3,20.7,20.2,19.6,19.2,18.8
Eritrea,17.4,,,,,15.2,,,,,13.3,12.9,12.7,12.4,12.1,11.8,11.4
Estonia,54.7,,,,,49.5,,,,,44.6,43.5,42.8,41.9,41,40.1,39.3
Ethiopia,9.2,,,,,8.9,,,,,8.7,8.6,8.6,8.5,8.4,8.5,8.5
Fiji,53.6,,,,,46.7,,,,,40.8,39.5,38.7,37.4,36.4,35.6,34.8
Finland,34.6,,,,,30.1,,,,,26.6,25.7,25.1,24.4,23.8,23.2,22.6
France,39.8,,,,,38.4,,,,,37,36.8,36.4,36.2,35.9,35.8,35.6
Gambia,37.8,,,,,35.4,,,,,33.4,33,32.7,32.2,32,31.7,31.2
Georgia,62.3,,,,,59.9,,,,,57.7,57.2,57,56.6,56,55.7,55.5
Germany,40.1,,,,,37.7,,,,,35.5,35.2,34.8,34.5,33.7,33.5,33.1
Ghana,10.8,,,,,9.6,,,,,8.7,8.5,8.4,8.2,8.1,7.8,7.7
Greece,61.1,,,,,57.8,,,,,55,54.6,53.7,53.3,53,52.2,52
Haiti,19,,,,,19.9,,,,,21.3,21.6,21.8,22.2,22.5,22.8,23.1
Hungary,47.2,,,,,42.7,,,,,38.9,38.2,37.5,36.8,36.2,35.5,34.8
Iceland,32.9,,,,,25.7,,,,,20.1,19.3,18.4,17.5,16.7,15.9,15.2
India,34.4,,,,,29.2,,,,,24.8,24,23.3,22.6,21.8,21.3,20.6
Indonesia,60.6,,,,,65,,,,,70.6,71.1,71.9,73,74.1,75.2,76.1
Iran,30,,,,,26.6,,,,,23.9,23.4,23,22.5,22,21.6,21.1
Ireland,37.7,,,,,33.4,,,,,29.5,28.9,28.2,27.5,26.9,26.3,25.7
Israel,39.9,,,,,38,,,,,37,36.6,36.5,36.2,36,35.7,35.4
Italy,33.2,,,,,31.4,,,,,29.6,29.5,29.1,28.8,28.6,28.1,27.8
Jamaica,28.1,,,,,28.2,,,,,28.2,28.3,28.4,28.3,28.4,28.4,28.6
Japan,52.5,,,,,45.7,,,,,39.8,38.6,37.7,36.6,35.6,34.7,33.7
Kazakhstan,56.1,,,,,51.8,,,,,47.6,46.9,46,45.4,44.7,43.9,43.1
Kenya,30.7,,,,,26.9,,,,,23.6,23.1,22.5,21.9,21.4,20.8,20.4
Kiribati,89.6,,,,,80.7,,,,,69.8,68.4,66,64.2,62.4,60.5,58.9
Kuwait,37,,,,,36.9,,,,,36.8,36.8,36.8,36.9,36.9,37,37
Kyrgyz Republic,50.7,,,,,50.7,,,,,50.2,50.4,50.6,50.4,50.5,50.5,50.5
Lao,68.5,,,,,62.5,,,,,57.2,55.8,54.9,54.3,53.1,52.1,51.2
Latvia,56.2,,,,,54.5,,,,,52.5,52.3,52,51.9,51.6,51,51
Lebanon,41.1,,,,,40.7,,,,,40.7,40.6,40.8,40.5,40.7,40.6,40.7
Lesotho,36.8,,,,,41.5,,,,,46.5,47.5,48.8,49.7,51.3,52.6,53.9
Liberia,22.5,,,,,20.9,,,,,19.4,19.2,19,18.8,18.6,18.3,18.1
Lithuania,53.1,,,,,47.7,,,,,42.8,42.1,41.1,40.4,39.5,38.7,38
Luxembourg,41.6,,,,,36,,,,,30.9,30,29.2,28.3,27.5,26.8,26
Malawi,33.2,,,,,30.2,,,,,27.5,26.9,26.4,25.8,25.7,25,24.7
Malaysia,52.9,,,,,49.1,,,,,46,45.3,44.6,44,43.3,43,42.4
Maldives,65.3,,,,,61.7,,,,,58.5,57.6,57.3,56.7,56.1,55.5,55
Mali,22,,,,,22.2,,,,,22.7,22.6,22.7,22.8,22.9,22.9,23
Malta,42,,,,,37.7,,,,,34.1,33.3,32.8,32.1,31.4,30.7,30.2
Mauritius,46,,,,,44.2,,,,,42.3,42.3,41.9,41.6,41.4,41,40.7
Mexico,35.8,,,,,30.5,,,,,25.8,25.1,24.2,23.6,22.8,22.1,21.4
Moldova,43.5,,,,,43.5,,,,,44.1,44.2,44.2,44.5,44.5,44.5,44.6
Mongolia,56.7,,,,,52.9,,,,,49.9,49.3,48.6,48.1,47.6,47.5,46.5
Montenegro,55.2,,,,,52.5,,,,,50.5,50,49.4,49.1,48.7,48.1,47.9
Morocco,33.5,,,,,36.9,,,,,41,42,42.8,44,44.8,46.1,47.1
Mozambique,40.1,,,,,36.1,,,,,32.6,31.9,31.2,30.7,30,29.6,29.1
Myanmar,51.6,,,,,45.6,,,,,40.3,39.4,38.6,37.6,36.9,36.1,35.2
Namibia,30.1,,,,,31.4,,,,,32.6,32.9,33.1,33.4,33.6,34.1,34.2
Nauru,59.4,,,,,50.7,,,,,43.6,42.3,41.1,40,38.9,37.7,36.9
Nepal,44.7,,,,,42.6,,,,,40.3,39.8,39.2,38.9,38.5,38,37.8
Netherlands,41.4,,,,,36.1,,,,,31.8,30.9,30.3,29.4,28.7,27.9,27.3
New Zealand,29.7,,,,,25,,,,,21.1,20.2,19.6,18.9,18.4,17.7,17.2
Niger,12.6,,,,,13.2,,,,,14.2,14.3,14.5,14.8,14.9,15.2,15.4
Nigeria,13.1,,,,,12.3,,,,,11.5,11.4,11.3,11.2,11,10.9,10.8
Norway,44.3,,,,,35.1,,,,,27.7,26.1,25,23.8,22.7,21.7,20.7
Oman,13.5,,,,,14.1,,,,,14.7,14.8,15,15.2,15.3,15.5,15.6
Pakistan,39,,,,,38.3,,,,,37.5,37.4,37.3,37.2,37,36.9,36.7
Palau,42.6,,,,,34.8,,,,,28.6,27.6,26.4,25.4,24.5,23.5,22.7
Panama,25,,,,,18.5,,,,,13.9,13.2,12.4,11.8,11.1,10.5,9.9
Papua New Guinea,80.7,,,,,69.8,,,,,59.5,57.2,55.3,53.7,52.2,50.3,48.8
Paraguay,45.6,,,,,36,,,,,28.6,27.3,26,24.8,23.7,22.6,21.6
Philippines,56.9,,,,,50.9,,,,,45.9,45,44.2,43.4,42.4,41.5,40.8
Poland,45.6,,,,,41,,,,,37,36.5,35.8,35.2,34.4,33.8,33.1
Portugal,37.6,,,,,34.9,,,,,32.5,32,31.6,31.1,30.8,30.4,30
Qatar,23,,,,,23.8,,,,,25.1,25.4,25.5,25.8,26.3,26.4,26.9
Romania,52.7,,,,,47.1,,,,,42,41.3,40.3,39.5,38.5,37.8,37.1
Russia,68.3,,,,,64.8,,,,,61.7,61.2,60.6,60,59.4,58.9,58.3
Rwanda,29.8,,,,,26.5,,,,,23.8,23.4,22.8,22.4,21.9,21.4,21
Samoa,63.2,,,,,53.8,,,,,45.9,44.5,43,41.8,40.7,39.4,38.1
Saudi Arabia,21.7,,,,,22.6,,,,,23.9,24.3,24.3,24.6,25,25.2,25.4
Senegal,20.9,,,,,19.4,,,,,18,17.8,17.6,17.2,17.1,16.8,16.6
Serbia,57,,,,,51.1,,,,,45.7,44.8,43.6,42.8,42,41.1,40.2
Seychelles,42,,,,,39.9,,,,,37.7,37.4,37,36.7,36.3,35.9,35.7
Sierra Leone,55.3,,,,,50.2,,,,,45.7,45,44,43.4,42.9,41.9,41.3
Singapore,27.2,,,,,27.5,,,,,27.9,27.9,27.8,28.2,28.2,28.2,28.3
Slovak Republic,43.9,,,,,41.6,,,,,39.5,39.2,38.8,38.4,38.2,38,37.7
Slovenia,30.8,,,,,28.7,,,,,27,26.8,26.3,26,25.7,25.3,25
South Africa,35.4,,,,,34.7,,,,,34,33.9,33.8,33.5,33.4,33.4,33.2
South Korea,62.2,,,,,54.3,,,,,47.9,46.6,45.4,44.2,43.1,42,40.9
Spain,47.3,,,,,41.6,,,,,36.6,35.6,34.8,33.9,33.1,32,31.4
Sri Lanka,31.6,,,,,30.2,,,,,28.6,28.3,28,27.9,27.5,27.5,27
Suriname,78.6,,,,,67.6,,,,,55.4,53.1,50.9,48.7,46.8,44.8,42.9
Sweden,31.6,,,,,27,,,,,22.9,22.2,21.4,20.8,20.1,19.5,18.9
Switzerland,37.4,,,,,34.4,,,,,31.9,31.3,30.9,30.5,30,29.5,28.9
Tanzania,39.3,,,,,34.6,,,,,30.6,29.9,29.2,28.6,27.7,27.3,26.7
Thailand,48,,,,,44.9,,,,,42.1,41.4,40.8,40.5,40,39.2,38.8
Timor-Leste,92.6,,,,,90.1,,,,,85.3,84.1,82.7,81.6,80.7,79.1,78.1
Togo,17.3,,,,,16.1,,,,,15.2,15,14.7,14.7,14.5,14.3,14.2
Tonga,56.7,,,,,52.3,,,,,48.2,47.6,46.9,46.5,45.6,45.1,44.4
Tunisia,56.6,,,,,59.1,,,,,62.2,62.8,63.3,63.9,64.8,65.4,65.8
Turkey,58.7,,,,,52.4,,,,,46.7,45.8,44.8,43.9,43,41.9,41.1
Uganda,29.2,,,,,24.4,,,,,20.5,19.8,19.1,18.4,17.9,17.2,16.7
Ukraine,60.6,,,,,56,,,,,52.1,51.3,50.5,49.9,49,48.2,47.4
United Arab Emirates,33.7,,,,,34.4,,,,,35.6,35.7,36.1,36.4,36.7,36.8,37.4
United Kingdom,38.9,,,,,33.8,,,,,29.3,28.5,27.7,26.8,26.1,25.6,24.7
United States,34.5,,,,,31,,,,,27.8,27.3,26.8,26.2,25.6,25.1,24.6
Uruguay,59.9,,,,,42.2,,,,,30,27.9,26.1,24.4,22.8,21.4,19.9
Uzbekistan,30.9,,,,,28.6,,,,,26.7,26.3,25.9,25.7,25.3,25,24.7
Vanuatu,57.9,,,,,49.1,,,,,41.6,40.3,39.2,37.8,36.8,35.6,34.5
Vietnam,50,,,,,48.5,,,,,47.4,46.9,47,46.6,46.3,46.4,45.9
Yemen,31.8,,,,,30.9,,,,,30,29.8,29.9,29.4,29.5,29.4,29.2
Zambia,30.5,,,,,28.6,,,,,26.7,26.2,26.1,25.6,25.4,25,24.7
Zimbabwe,33.2,,,,,32.2,,,,,31.5,31.4,31.3,31.2,31,30.8,30.7
